Alias,Mailbox,Type,Whitelisted IP Address,Inbox,Outbox,URL,Cleo Server,Customer
BlueRibbon-JohnMorrell,Kewill,FTP Pull/Push,['N/A'],%com1%\dispatch\BlueRibbon-JohnMorrell\Test\Inbound\,%com1%\dispatch\BlueRibbon-JohnMorrell\Test\Outbound\,testtransfer.sterlingtms.net,Cary QA,Blue Ribbon Transport
BlueRibbon-Nestle,myMailbox,AS2 Customers,['N/A'],%com1%\dispatch\BlueRibbon-Nestle\Test\Inbound\,%Com1%\Dispatch\BlueRibbon-Nestle\Test\Outbound\,edidev.nesusa.com,Cary QA,Blue Ribbon Transport
BlueRibbon-USFoods,OMUSFTEST,AS2 Customers,['N/A'],%com1%\dispatch\BlueRibbon-USFoods\Test\Inbound\,%com1%\Dispatch\BlueRibbon-USFoods\Test\Outbound\,tntest.logistics.com,Cary QA,Blue Ribbon Transport
BNSF Post Load,BNSF Post Load,FTP Pull/Push\BNSF Logistics,['N/A'],%atlfs1%\Dispatch\BNSF-BNSFLogistics\Prod\Inbound\,%atlfs1%\dispatch\BNSF-BNSFLogistics\Prod\Outbound\PostEverywhere\,ftp.bnsflogistics.com,ATL Prod,BNSF
BNSF XML Extracts,BNSF XML Extracts,FTP Pull/Push\BNSF Logistics,['N/A'],inbox\,%atlfs1%\Dispatch\BNSF-BNSFLogistics\Prod\Outbound\AS2\History\,ftp.bnsflogistics.com,ATL Prod,BNSF
BNSF-Brokerage,BNLS Brokerage,AS2 Customers\BNSF,['N/A'],%atlfs1%\CustomerData\BNSF-Brokerage\Queue\,%atlfs1%\Dispatch\BNSF-Brokerage\Prod\Outbound\AS2\,b2b.bnsflogistics.com,ATL Prod,BNSF
BNSF-FTP Push,BNSF,FTP Pull/Push\Transcore,['N/A'],F:\,F:\,ftp.dat.com,ATL Prod,Transcore
BNSF-PE,BNSF-PE Push,FTP Pull/Push\PostEverywhere,['N/A'],inbox\,%atlfs1%\customerdata\BNSFLogistics\Queue\Outbound\PostEverywhere\,ftp.posteverywhere.com,ATL Prod,PostEveryWhere
BNSF-Rail (FTCCAPCON),BNSF - FTCCAPCON,FTP Pull/Push\Transentric,['N/A'],%cryfs1%\dispatch\BNSF-BNSF-Rail\Prod\Inbound\,%cryfs1%\dispatch\BNSF-BNSF-Rail\Prod\Outbound\TSCapCon\,ftp.transentric.com,Cary Prod1,BNSF
BNSF-Rail (Transentric),BNSF - Rail,FTP Pull/Push\Transentric,['N/A'],%cryfs1%\dispatch\BNSF-BNSF-Rail\Prod\Inbound\,%cryfs1%\dispatch\BNSF-BNSF-Rail\Prod\Outbound\Transcentric404\,ftp.transentric.com,Cary Prod1,BNSF
BNSF,BNLS,AS2 Customers,['N/A'],\\miacom1\customerdata\BNSFLogistics\QA\Queue\,\\miacom1\Dispatch\BNSF-BNSFLogistics\Test\Outbound\,b2b.bnsflogistics.com,MIA QA,BNSF
Bulk FR8-FTP Push Only,Bulk FR8,FTP Pull/Push\Transcore,['N/A'],F:\,F:\,ftp.dat.com,ATL Prod,Transcore
Cardinal Health,Cardinal Health,AS2 Customers,['N/A'],%com1%\dispatch\CardinalHealth\Prod\Inbound\,%com1%\Dispatch\CardinalHealth\Prod\Outbound\,edigateway.cardinalhealth.com,Cary Prod1,Cardinal Health
Cardinal_Health_3PL-CareFusion,Cardinal_Health_CareFusion Push 210,FTP Pull/Push,['N/A'],%com1%\customerdata\CardinalHealth-3PL-CareFusion\Queue\,%com1%\dispatch\CardinalHealth-CareFusion\Prod\Outbound\,ftpprd.freightmatrix.com,Cary Prod1,Cardinal Health
Cardinal_Health_3PL-CareFusion,Cardinal_Health_CareFusion Push 214,FTP Pull/Push,['N/A'],%com1%\customerdata\CardinalHealth-3PL-CareFusion\Queue\,%com1%\dispatch\CardinalHealth-CareFusion\Prod\Outbound\,ftpprd.freightmatrix.com,Cary Prod1,Cardinal Health
Cardinal_Health_3PL-CareFusion,Cardinal_Health_CareFusion Push 990,FTP Pull/Push,['N/A'],%com1%\customerdata\CardinalHealth-3PL-CareFusion\Queue\,%com1%\dispatch\CardinalHealth-CareFusion\Prod\Outbound\,ftpprd.freightmatrix.com,Cary Prod1,Cardinal Health
Cardinal_Health_3PL-CareFusion,Cardinal_Health_CareFusion Push 997,FTP Pull/Push,['N/A'],%com1%\customerdata\CardinalHealth-3PL-CareFusion\Queue\,%com1%\dispatch\CardinalHealth-CareFusion\Prod\Outbound\,ftpprd.freightmatrix.com,Cary Prod1,Cardinal Health
Cardinal_Health_3PL-CareFusion,Cardinal_Health_CareFusion Pull 204,FTP Pull/Push,['N/A'],%com1%\customerdata\CardinalHealth-3PL-CareFusion\Queue\,%com1%\dispatch\CardinalHealth-CareFusion\Prod\Outbound\,ftpprd.freightmatrix.com,Cary Prod1,Cardinal Health
Cardinal_Health_CareFusion,Cardinal_Health_CareFusion-Push 997,FTP Pull/Push,['N/A'],%com1%\Customerdata\CardinalHealth-CareFusion\QA\Queue\,%com1%\dispatch\CardinalHealth-CareFusion\Test\Outbound\,ftpprd.freightmatrix.com,Cary QA,Cardinal Health
Cardinal_Health_CareFusion,Cardinal_Health_CareFusion-Push 210,FTP Pull/Push,['N/A'],%com1%\Customerdata\CardinalHealth-CareFusion\QA\Queue\,%com1%\dispatch\CardinalHealth-CareFusion\Test\Outbound\,ftpprd.freightmatrix.com,Cary QA,Cardinal Health
Cardinal_Health_CareFusion,Cardinal_Health_CareFusion-Push 990,FTP Pull/Push,['N/A'],%com1%\Customerdata\CardinalHealth-CareFusion\QA\Queue\,%com1%\dispatch\CardinalHealth-CareFusion\Test\Outbound\,ftpprd.freightmatrix.com,Cary QA,Cardinal Health
Cardinal_Health_CareFusion,Cardinal_Health_CareFusion-Push 214,FTP Pull/Push,['N/A'],%com1%\Customerdata\CardinalHealth-CareFusion\QA\Queue\,%com1%\dispatch\CardinalHealth-CareFusion\Test\Outbound\,ftpprd.freightmatrix.com,Cary QA,Cardinal Health
Cardinal_Health_CareFusion,Cardinal_Health_CareFusion-Pull 204,FTP Pull/Push,['N/A'],%com1%\Customerdata\CardinalHealth-CareFusion\QA\Queue\,%com1%\dispatch\CardinalHealth-CareFusion\Test\Outbound\,ftpprd.freightmatrix.com,Cary QA,Cardinal Health
CardinalHealth-BectonDickinson,BECTONTEST,AS2 Customers\CardinalHealth,['N/A'],\\miacom1\Dispatch\CardinalHealth-BectonDickinson\Test\Inbound\,\\miacom1\Dispatch\CardinalHealth-BectonDickinson\Test\Outbound\,acceaitst1.bd.com,MIA QA,Cardinal Health
CardinalHealth-Cass,AS2CassTest,AS2 Customers\CardinalHealth,['N/A'],\\miacom1\Dispatch\CardinalHealth-Cass\Test\Inbound\,\\miacom1\Dispatch\CardinalHealth-Cass\Test\Outbound\,CassProductionAS2.CassInfo.Com,MIA QA,Cardinal Health
CardinalHealth-DSC,myMailbox,AS2 Customers\CardinalHealth,['N/A'],\\miacom1\customerdata\CardinalHealth-DSC\QA\Queue\,\\miacom1\dispatch\CardinalHealth-DSC\Test\Outbound\,as2pro.dsc-logistics.com,MIA QA,Cardinal Health
CardinalHealth-Envista,myMailbox,AS2 Customers,['N/A'],%miacom1%\CustomerData\CardinalHealth\QA2\Queue\,%miacom1%\Dispatch\CardinalHealth-Envista\Test\Outbound\,prod1.enspirecommerce.com,MIA QA,Cardinal Health
CardinalHealth-FedEx,CardinalHealth Fedex,AS2 Customers\CardinalHealth,['N/A'],%atlfs1%\customerdata\CardinalHealth\Queue\,%atlfs1%\dispatch\CardinalHealth-FedEx\Prod\Outbound\,prod.ec.fedex.com,ATL Prod,Cardinal Health
CardinalHealth-Tradex,TRADEX1,AS2 Customers\CardinalHealth,['N/A'],%miacom1%\CustomerData\CardinalHealth-Tradex\Qa\Queue\,%miacom1%\Dispatch\CardinalHealth-Tradex\Test\Outbound\,http://74.219.116.99,MIA QA,Cardinal Health
CardinalHealth,01943561654T,AS2 Customers\CardinalHealth,['N/A'],\\miacom1\Dispatch\CardinalHealth\Test\Inbound\,\\miacom1\Dispatch\CardinalHealth\Test\Outbound\,stgedigateway.cardinalhealth.com,MIA QA,Cardinal Health
Cargill - BNSF,Cargill-BNSF Push404/Pull824,FTP Pull/Push\Cargill,['N/A'],%cryfs1%\Dispatch\BNSF-BNSF-Rail\Prod\Inbound\,%cryfs1%\Dispatch\BNSF-BNSF-Rail\Prod\Outbound\404\,ediftp.bnsf.com,Cary Prod1,BNSF
Cargill - CanadaNationalRR (997),Cargill-CanadaNationalRR Push997,FTP Pull/Push\Cargill,['N/A'],%com1%\Dispatch\CN-CanadaNationalRR\Prod\Inbound\,%com1%\Dispatch\CN-CanadaNationalRR\Prod\Outbound\997\,mftedi.cn.ca,Cary Prod1,Carter Logistics
Cargill - CanadaNationalRR,Cargill-CanadaNationalRR Push404,FTP Pull/Push\Cargill,['N/A'],%com1%\Dispatch\CN-CanadaNationalRR\Prod\Inbound\,%com1%\Dispatch\CN-CanadaNationalRR\Prod\Outbound\404\,mftedi.cn.ca,Cary Prod1,Carter Logistics
Cargill - CanadaNationalRR,Cargill-CanadaNationalRR Pull410,FTP Pull/Push\Cargill,['N/A'],%com1%\Dispatch\CN-CanadaNationalRR\Prod\Inbound\,%com1%\Dispatch\CN-CanadaNationalRR\Prod\Outbound\404\,mftedi.cn.ca,Cary Prod1,Carter Logistics
Cargill - CanadaNationalRR,Cargill-CanadaNationalRR Pull824,FTP Pull/Push\Cargill,['N/A'],%com1%\Dispatch\CN-CanadaNationalRR\Prod\Inbound\,%com1%\Dispatch\CN-CanadaNationalRR\Prod\Outbound\404\,mftedi.cn.ca,Cary Prod1,Carter Logistics
Cargill - CSX,Cargill-CSX Push404/Pull824 FWneedsConfig,FTP Pull/Push\CSX,['N/A'],inbox\,outbox\,ftp-b2bp.csx.com,Cary Prod1,Carter Logistics
Cargill - NSCORP,myMailbox,FTP Pull/Push,['N/A'],%com1%\customerdata\Cargill\QA\Queue\,%com1%\Dispatch\NS-NorfolkSouthern\Test\Outbound\404\,dcsdev.nscorp.com,Cary QA,Carter Logistics
Cargill - TripleTTransport,Cargill - TripleTTransport Push/Pull,FTP Pull/Push\Cargill,['N/A'],%com1%\dispatch\TPTA-TripleTTransport\Prod\Inbound\,%com1%\dispatch\TPTA-TripleTTransport\Prod\Outbound\,ftp.kleinschmidt.com,Cary Prod1,Carter Logistics
Cargill - UnionPacific,Cargill - UnionPacific Push404/Pull824,FTP Pull/Push\Transentric,['N/A'],%com1%\Dispatch\UP-UnionPacific\Prod\Inbound\,%com1%\Dispatch\UP-UnionPacific\Prod\Outbound\404\,ftp.transentric.com,Cary Prod1,Carter Logistics
Cargomatic-Sterling,myMailbox,FTP Pull/Push,['N/A'],%miacom1%\CustomerData\Cargomatic\QA\Queue\,%miacom1%\Dispatch\Cargomatic-Sterling\Test\Outbound\,ftpnatest.sterlingcommerce.com,MIA QA,Cargomatic
Cargomatic,myMailbox,FTP Pull/Push,['N/A'],%atlfs1%\CustomerData\Cargomatic\Queue\,%atlfs1%\Dispatch\Cargomatic\Prod\Outbound\,52.32.247.66,ATL Prod,Cargomatic
suse-test,suse-test,FTP Server Accounts,['208.48.27.4'],%com1%\dispatch\SUSE-SuperService\Test\\Inbound,%com1%\dispatch\SUSE-SuperService\Test\\Outbound,N/A,Cary QA,
luac-test,luac-test,FTP Server Accounts,['65.123.245.72'],%com1%\dispatch\LUAC-AllenLundCo\Test\\Inbound,%com1%\dispatch\LUAC-AllenLundCo\Test\\Outbound,N/A,Cary QA,
hlcu-test,hlcu-test,FTP Server Accounts,"['193.17.48.236', '193.17.48.244']",%com1%\Dispatch\HLCU-Hapag-Lloyd\Test\\Inbound,%com1%\Dispatch\HLCU-Hapag-Lloyd\Test\\Outbound,N/A,Cary QA,
smta-qa,smta-qa,FTP Server Accounts,"['63.237.133.221', '65.164.167.34', '65.164.167.35', '65.164.167.40', '69.128.144.34', '69.128.144.35', '69.128.144.40']",%COM1%\Dispatch\SMTA-SmithTransport\Test\\Inbound,%COM1%\Dispatch\SMTA-SmithTransport\Test\\Outbound,N/A,Cary QA,
Marktest,Marktest,FTP Server Accounts,"['10.1.2.28', '10.27.11.238', '216.27.11.238']",%com1%\customerdata\marktest\Inbound,%com1%\customerdata\marktest\Outbound,N/A,Cary QA,Marisol International
hrtd-test,hrtd-test,FTP Server Accounts,"['216.220.226.218', '216.220.226.221']",%Com1%\dispatch\HRTD-Hartt\Test\\Inbound,%Com1%\dispatch\HRTD-Hartt\Test\\Outbound,N/A,Cary QA,
celc-test,celc-test,FTP Server Accounts,"['206.82.149.70', '208.191.62.213']",%com1%\dispatch\CELC-CelticInternational\Test\\Inbound,%com1%\dispatch\CELC-CelticInternational\Test\\Outbound,N/A,Cary QA,Celestica
asmk-test,asmk-test,FTP Server Accounts,"['65.164.167.34', '65.164.167.35', '65.164.167.40', '69.128.144.34', '69.128.144.35', '69.128.144.40']",%com1%\dispatch\ASMK-AmericanFreightSolutions\Test\\Inbound,%com1%\dispatch\ASMK-AmericanFreightSolutions\Test\\Outbound,N/A,Cary QA,
npme-test,npme-test,FTP Server Accounts,"['208.196.222.194', '65.157.110.34', '67.133.255.194']",%com1%\Dispatch\NPME-NewPenn\Test\\Inbound,%com1%\Dispatch\NPME-NewPenn\Test\\Outbound,N/A,Cary QA,
Carson - England Logistics 2,Carson - England Invoice Push,FTP Pull/Push\England Logistics,['N/A'],inbox\,%com1%\CarsonData\Queue\Outbound\,ftp2.crengland.com,Cary Prod1,England Logistics
Carson - England Logistics,Carson - England Shipment Push,FTP Pull/Push\England Logistics,['N/A'],inbox\,\\com1\Dispatch\EnglandLogistics\Prod\Outbound\Flow-Out\,ftp.crengland.com,Cary Prod1,England Logistics
Carson - England Logistics,Carson - England Shipment Push,FTP Pull/Push\England Logistics,['N/A'],inbox\,\\com1\Dispatch\EnglandLogistics\Prod\Outbound\Flow-Out\,ftp.crengland.com,ATL Prod,England Logistics
Carter-UPS,Pull,FTP Pull/Push,['N/A'],\\CRYFS1\Dispatch\CarterLogistics-UPS\Test\Inbound\,\\CRYFS1\Dispatch\CarterLogistics-UPS\Test\Outbound\,ftps2.easylink.com,Cary QA,Carter Logistics
CarterLogistics - Transvantage,CarterLogistics - Transvantage Push 210,FTP Pull/Push\Carter Logistics,['N/A'],inbox\,%com1%\Dispatch\CarterLogistics\Prod\Outbound\210\,ticominc.com,Cary Prod1,Carter Logistics
Cass - Odyssey,Cass-Odyssey Push 210,FTP Pull/Push\Cass,['N/A'],inbox\,%com1%\dispatch\Cass\Prod\Outbound\Odyssey\,ftp.cassinfo.com,Cary Prod1,CASK Industries
